data,jogo,transmissão,hora
07/10/2023,Los Angeles Lakers x Golden State Warriors,Amazon Prime Video,21h30
08/10/2023,Philadelphia 76ers x Boston Celtics,ESPN 3,19h
10/10/2023,Denver Nuggets x Phoenix Suns,Amazon Prime Video,23h
13/10/2023,Miami Heat x San Antonio Spurs,Amazon Prime Video,20h30
13/10/2023,Golden State Warriors x Los Angeles Lakers,ESPN 2,23h
15/10/2023,Milwaukee Bucks x Los Angeles Lakers,ESPN 3,20h
15/10/2023,Golden State Warriors x Sacramento Kings,ESPN 3,22h30
17/10/2023,New York Knicks x Boston Celtics,Amazon Prime Video,20h30
17/10/2023,Denver Nuggets x Los Angeles Clippers,ESPN 2,23h30
20/10/2023,Flamengo x Orlando Magic,Amazon Prime Video,20h
25/10/2023,Boston Celtics x New York Knicks,ESPN 2,20h
25/10/2023,Dallas Mavericks x San Antonio Spurs,ESPN 2,22h30
27/10/2023,Miami Heat x Boston Celtics,ESPN 2,20h30
27/10/2023,Golden State Warriors x Sacramento Kings,ESPN 2,23h
24/10/2023,Los Angeles Lakers x Denver Nuggets,Amazon Prime Video,20h30
24/10/2023,Phoenix Suns x Golden State Warriors,Amazon Prime Video,23h
26/10/2023,Philadelphia 76ers x Milwaukee Bucks,Amazon Prime Video,20h30
26/10/2023,Phoenix Suns x Los Angeles Lakers,Amazon Prime Video,23h
28/10/2023,New York Knicks x New Orleans Pelicans,Amazon Prime Video,20h
28/10/2023,Miami Heat x Minnesota Timberwolves,ESPN 2,21h
28/10/2023,Utah Jazz x Phoenix Suns,Amazon Prime Video,23h
29/10/2023,Denver Nuggets x Oklahoma City Thunder,Amazon Prime Video,16h30
29/10/2023,Los Angeles Lakers x Sacramento Kings,Amazon Prime Video,22h
31/10/2023,New York Knicks x Cleveland Cavaliers,Amazon Prime Video,20h30
31/10/2023,San Antonio Spurs x Phoenix Suns,Amazon Prime Video,23h
01/11/2023,New Orleans Pelicans x Oklahoma City Thunder,ESPN 2,20h30
01/11/2023,Los Angeles Clippers x Los Angeles Lakers,ESPN 2,23h
03/11/2023,New York Knicks x Milwaukee Bucks,ESPN 2,20h30
03/11/2023,Dallas Mavericks x Denver Nuggets,ESPN 2,23h
04/11/2023,Phoenix Suns x Philadelphia 76ers,Amazon Prime Video,14h
04/11/2023,Los Angeles Lakers x Orlando Magic,ESPN 2,20h
04/11/2023,Chicago Bulls x Denver Nuggets,Amazon Prime Video,22h
05/11/2023,Toronto Raptors x San Antonio Spurs,Amazon Prime Video,17h30
05/11/2023,Golden State Warriors x Cleveland Cavaliers,Amazon Prime Video,20h
08/11/2023,San Antonio Spurs x New York Knicks,ESPN 2,21h30
08/11/2023,Golden State Warriors x Denver Nuggets,ESPN 2,0h
10/11/2023,Brooklyn Nets x Boston Celtics,ESPN 2,21h30
10/11/2023,Los Angeles Lakers x Phoenix Suns,ESPN 2,0h
11/11/2023,Miami Heat x Atlanta Hawks,Amazon Prime Video,21h30
11/11/2023,Cleveland Cavaliers x Golden State Warriors,ESPN 2,22h30
12/11/2023,Memphis Grizzlies x Los Angeles Clippers,Amazon Prime Video,17h30
12/11/2023,Miami Heat x San Antonio Spurs,Amazon Prime Video,21h
14/11/2023,San Antonio Spurs x Oklahoma City Thunder,Amazon Prime Video,21h30
14/11/2023,Los Angeles Clippers x Denver Nuggets,Amazon Prime Video,0h
15/11/2023,Boston Celtics x Philadelphia 76ers,ESPN 2,21h30
15/11/2023,Sacramento Kings x Los Angeles Lakers,ESPN 2,0h
17/11/2023,Sacramento Kings x San Antonio Spurs,ESPN 2,21h30
17/11/2023,Phoenix Suns x Utah Jazz,ESPN 2,0h
18/11/2023,Dallas Mavericks x Milwaukee Bucks,Amazon Prime Video,22h
18/11/2023,Memphis Grizzlies x San Antonio Spurs,ESPN 2,22h
19/11/2023,Philadelphia 76ers x Brooklyn Nets,Amazon Prime Video,17h
19/11/2023,Sacramento Kings x Dallas Mavericks,Amazon Prime Video,21h30
21/11/2023,Cleveland Cavaliers x Philadelphia 76ers,Amazon Prime Video,21h30
21/11/2023,Utah Jazz x Los Angeles Lakers,Amazon Prime Video,0h
22/11/2023,Milwaukee Bucks x Boston Celtics,ESPN 2,21h30
22/11/2023,Golden State Warriors x Phoenix Suns,ESPN 2,0h
24/11/2023,Miami Heat x New York Knicks,ESPN 2,21h30
24/11/2023,San Antonio Spurs x Golden State Warriors,ESPN 2,0h
25/11/2023,Philadelphia 76ers x Oklahoma City Thunder,Amazon Prime Video,19h
25/11/2023,Los Angeles Lakers x Cleveland Cavaliers,Amazon Prime Video,21h30
25/11/2023,Dallas Mavericks x Los Angeles Clippers,ESPN 2,0h30
26/11/2023,Portland Trail Blazers x Milwaukee Bucks,Amazon Prime Video,17h30
26/11/2023,Phoenix Suns x New York Knicks,Amazon Prime Video,20h
28/11/2023,Milwaukee Bucks x Miami Heat,Amazon Prime Video,21h30
28/11/2023,Golden State Warriors x Sacramento Kings,Amazon Prime Video,0h
29/11/2023,Los Angeles Clippers x Sacramento Kings,ESPN 2,0h
01/12/2023,Memphis Grizzlies x Dallas Mavericks,ESPN 2,21h30
01/12/2023,Denver Nuggets x Phoenix Suns,ESPN 2,0h
02/12/2023,Golden State Warriors x Los Angeles Clippers,Amazon Prime Video,18h
02/12/2023,Oklahoma City Thunder x Dallas Mavericks,Amazon Prime Video,23h
02/12/2023,Memphis Grizzlies x Phoenix Suns,ESPN 2,23h
12/12/2023,Los Angeles Lakers x Dallas Mavericks,Amazon Prime Video,21h30
